"item","customer","week_end_date","units","sales","inventory_units","inventory_value"
"19241","LF",2013-11-30,1,19.99,2,39.98
"19241","LF",2013-12-07,66,1308.34,159,3151.91
"19241","LF",2013-12-14,92,1682.28,334,6107.40782608696
"19241","LF",2013-12-21,83,1587.19,175,3346.48493975904
"19241","LF",2013-12-28,13,259.87,59,1179.41
"19241","NFPOS",2013-11-23,3,59.91,12,239.64
"19241","NFPOS",2013-11-30,25,499.25,49,978.53
"19241","NFPOS",2013-12-07,60,1198.2,256,5112.32
"19241","NFPOS",2013-12-14,4,79.88,10,199.7
"19241","NFPOS",2013-12-28,2,39.94,6,119.82
"19241","TGT",2013-12-07,1507,23659.9,5433,85298.1
"19241","TGT",2013-12-14,1979,30892.19,3225,50342.25
"19241","TGT",2013-12-21,2674,42142.24,11951,188347.76
"19241","TGT",2013-12-28,1556,24693.72,7701,122214.87
"19241","WMT",2013-12-28,-1,-19.97,-2,-39.94
"19234","AMZ",2013-08-03,13,259.87,62,1239.38
"19234","AMZ",2013-08-10,2,39.98,7,139.93
"19234","AMZ",2013-08-17,1,19.99,4,79.96
"19234","AMZ",2013-08-24,12,234.84,28,547.96
"19234","AMZ",2013-08-31,16,318.24,40,795.6
"19234","AMZ",2013-09-07,9,179.82,9,179.82
"19234","AMZ",2013-09-14,5,99.85,11,219.67
"19234","AMZ",2013-09-21,15,299.7,24,479.52
"19234","AMZ",2013-09-28,9,178.92,22,437.36
"19234","AMZ",2013-10-05,7,117.32,13,217.88
"19234","AMZ",2013-10-12,4,77.84,15,291.9
"19234","AMZ",2013-10-19,3,47.97,8,127.92
"19234","AMZ",2013-10-26,11,208.12,26,491.92
"19234","AMZ",2013-11-02,28,451.64,98,1580.74
"19234","AMZ",2013-11-09,32,479.68,103,1543.97
"19234","AMZ",2013-11-16,11,165.88,29,437.32
"19234","AMZ",2013-11-23,123,1842.54,280,4194.4
"19234","AMZ",2013-11-30,137,2050.89,421,6302.37
"19234","AMZ",2013-12-07,40,529.6,110,1456.4
"19234","AMZ",2013-12-14,30,369.6,90,1108.8
"19234","AMZ",2013-12-21,293,1740.42,1161,6896.34
"19234","AMZ",2013-12-28,126,725.76,379,2183.04
"19234","BBY",2013-08-17,3,59.97,7,139.93
"19234","BBY",2013-08-24,10,199.9,40,799.6
"19234","BBY",2013-08-31,19,379.81,79,1579.21
"19234","BBY",2013-09-07,14,279.86,30,599.7
"19234","BBY",2013-09-14,13,259.87,52,1039.48
"19234","BBY",2013-09-21,21,419.79,81,1619.19
"19234","BBY",2013-09-28,24,479.76,75,1499.25
"19234","BBY",2013-10-05,22,439.78,51,1019.49
"19234","BBY",2013-10-12,19,379.81,81,1619.19
"19234","BBY",2013-10-19,23,459.77,28,559.72
"19234","BBY",2013-10-26,19,379.81,89,1779.11
"19234","BBY",2013-11-02,15,299.85,39,779.61
"19234","BBY",2013-11-09,17,339.83,33,659.67
"19234","BBY",2013-11-16,10,199.9,24,479.76
"19234","BBY",2013-11-23,39,779.61,121,2418.79
"19234","BBY",2013-11-30,71,1419.29,281,5617.19
"19234","BBY",2013-12-07,62,1239.38,219,4377.81
"19234","BBY",2013-12-14,69,1379.31,207,4137.93
"19234","BBY",2013-12-21,209,4177.91,481,9615.19
"19234","BBY",2013-12-28,156,3118.44,628,12553.72
"19234","KMT",2013-09-28,1,22,2,44
"19234","KMT",2013-10-19,1,22,2,44
"19234","KMT",2013-11-02,1,22,4,88
"19234","KMT",2013-11-09,1,22,4,88
"19234","KMT",2013-11-16,3,66,10,220
"19234","KMT",2013-11-23,1,22,4,88
"19234","KMT",2013-11-30,3,63.99,14,298.62
"19234","KMT",2013-12-07,8,127.04,25,397
"19234","KMT",2013-12-14,1,19,4,76
"19234","KMT",2013-12-21,4,65,13,211.25
"19234","KMT",2013-12-28,-4,-49,-10,-122.5
"19234","LF",2013-08-03,3,43.99,9,131.97
"19234","LF",2013-08-10,3,56.97,10,189.9
"19234","LF",2013-08-31,2,39.98,5,99.95
"19234","LF",2013-09-07,4,79.96,3,59.97
"19234","LF",2013-09-28,5,91.95,17,312.63
"19234","LF",2013-10-05,4,68.96,9,155.16
"19234","LF",2013-10-12,2,28.98,4,57.96
"19234","LF",2013-10-26,7,130.93,16,299.268571428571
"19234","LF",2013-11-02,2,39.98,2,39.98
"19234","LF",2013-11-09,4,67.96,9,152.91
"19234","LF",2013-11-23,5,99.95,11,219.89
"19234","LF",2013-11-30,5,99.95,23,459.77
"19234","LF",2013-12-07,16,319.84,50,999.5
"19234","LF",2013-12-14,15,299.85,14,279.86
"19234","LF",2013-12-21,16,295.86,57,1054.00125
"19234","LF",2013-12-28,2,39.98,7,139.93
"19234","NFPOS",2013-08-10,2,39.96,9,179.82
"19234","NFPOS",2013-08-17,5,99.93,19,379.734
"19234","NFPOS",2013-08-24,3,59.93,7,139.836666666667
"19234","NFPOS",2013-08-31,25,495.73,64,1269.0688
"19234","NFPOS",2013-09-07,26,519.58,88,1758.57846153846
"19234","NFPOS",2013-09-14,32,639.48,117,2338.09875
"19234","NFPOS",2013-09-21,27,497.41,69,1271.15888888889
"19234","NFPOS",2013-09-28,31,574.5,23,426.241935483871
"19234","NFPOS",2013-10-05,42,771.75,93,1708.875
"19234","NFPOS",2013-10-12,52,1020.52,139,2727.92846153846
"19234","NFPOS",2013-10-19,107,1893.42,488,8635.4108411215
"19234","NFPOS",2013-10-26,183,2876.89,524,8237.65224043716
"19234","NFPOS",2013-11-02,148,2398.63,403,6531.40466216216
"19234","NFPOS",2013-11-09,298,5067.35,390,6631.76677852349
"19234","NFPOS",2013-11-16,645,10726.03,2486,41340.9466356589
"19234","NFPOS",2013-11-23,694,11161.29,2684,43165.5653602306
"19234","NFPOS",2013-11-30,1328,20892.08,5942,93479.4724096386
"19234","NFPOS",2013-12-07,1387,21789.57,1966,30885.5765104542
"19234","NFPOS",2013-12-14,1446,24567.61,1092,18553.1328630705
"19234","NFPOS",2013-12-21,1843,31054.1,5130,86439.2474226804
"19234","NFPOS",2013-12-28,737,13578.58,1810,33347.6659430122
"19234","TGT",2013-07-27,1,19,3,57
"19234","TGT",2013-08-03,11,217.03,40,789.2
"19234","TGT",2013-08-10,108,2143.8,335,6649.75
"19234","TGT",2013-08-17,106,2090.1,426,8399.8358490566
"19234","TGT",2013-08-24,115,2284.16,495,9831.81913043478
"19234","TGT",2013-08-31,108,2155.77,283,5648.91583333333
"19234","TGT",2013-09-07,118,2333.52,235,4647.26440677966
"19234","TGT",2013-09-14,123,2431.71,391,7730.07
"19234","TGT",2013-09-21,97,1934.23,332,6620.25113402062
"19234","TGT",2013-09-28,86,1701.29,308,6092.99209302326
"19234","TGT",2013-10-05,112,2213.81,129,2549.83473214286
"19234","TGT",2013-10-12,88,1729.37,82,1611.45840909091
"19234","TGT",2013-10-19,56,1086.94,203,3940.1575
"19234","TGT",2013-10-26,69,1370.73,252,5006.14434782609
"19234","TGT",2013-11-02,90,1699.05,483,9118.235
"19234","TGT",2013-11-09,93,1775.65,373,7121.69301075269
"19234","TGT",2013-11-16,148,2821.9,437,8332.23175675676
"19234","TGT",2013-11-23,190,3668.89,437,8438.447
"19234","TGT",2013-11-30,419,8105.34,1213,23464.8625775656
"19234","TGT",2013-12-07,452,8753.18,1364,26414.463539823
"19234","TGT",2013-12-14,696,13615.53,3237,63323.9520258621
"19234","TGT",2013-12-21,1347,26154.6,6330,122909.144766147
"19234","TGT",2013-12-28,1218,21099.66,3574,61913.1238423645
"19234","TRU",2013-08-17,11,216.04,37,726.68
"19234","TRU",2013-08-24,28,577.08,71,1463.31
"19234","TRU",2013-08-31,25,525,121,2541
"19234","TRU",2013-09-07,27,581.04,22,473.44
"19234","TRU",2013-09-14,23,462.07,90,1808.1
"19234","TRU",2013-09-21,28,561.12,49,981.96
"19234","TRU",2013-09-28,46,789.82,144,2472.48
"19234","TRU",2013-10-05,12,281.04,55,1288.1
"19234","TRU",2013-10-12,20,412,49,1009.4
"19234","TRU",2013-10-19,34,676.94,112,2229.92
"19234","TRU",2013-10-26,20,421,60,1263
"19234","TRU",2013-11-02,32,610.88,80,1527.2
"19234","TRU",2013-11-09,35,686,107,2097.2
"19234","TRU",2013-11-16,54,1085.94,175,3519.25
"19234","TRU",2013-11-23,68,1345.72,91,1800.89
"19234","TRU",2013-11-30,144,2888.64,449,9006.94
"19234","TRU",2013-12-07,279,4798.8,492,8462.4
"19234","TRU",2013-12-14,311,6008.52,595,11495.4
"19234","TRU",2013-12-21,475,9509.5,1416,28348.32
"19234","TRU",2013-12-28,298,6287.8,778,16415.8
"19234","WMT",2013-08-10,5,99.85,23,459.31
"19234","WMT",2013-08-17,43,858.71,132,2636.04
"19234","WMT",2013-08-24,82,1637.54,170,3394.9
"19234","WMT",2013-08-31,91,1817.27,310,6190.7
"19234","WMT",2013-09-07,79,1573.68,200,3984
"19234","WMT",2013-09-14,129,2576.13,233,4653.01
"19234","WMT",2013-09-21,222,4437.78,556,11114.44
"19234","WMT",2013-09-28,218,4344.74,521,10383.53
"19234","WMT",2013-10-05,246,4922.46,1384,27693.84
"19234","WMT",2013-10-12,216,4317.84,644,12873.56
"19234","WMT",2013-10-19,190,3767.7,414,8209.62
"19234","WMT",2013-10-26,203,4037.67,430,8552.7
"19234","WMT",2013-11-02,166,3298.42,407,8087.09
"19234","WMT",2013-11-09,259,5112.66,876,17292.24
"19234","WMT",2013-11-16,283,5609.06,1328,26320.96
"19234","WMT",2013-11-23,312,6158.88,1035,20430.9
"19234","WMT",2013-11-30,633,12457.44,2366,46562.88
"19234","WMT",2013-12-07,548,10746.28,1721,33748.81
"19234","WMT",2013-12-14,519,10416.33,1397,28037.79
"19234","WMT",2013-12-21,724,14501.72,1222,24476.66
"19234","WMT",2013-12-28,642,12807.9,1906,38024.7
"10203","WMT",2012-01-21,-2,-39.74,-5,-99.35
"10203","WMT",2012-02-04,-2,-39.94,-5,-99.85
"10203","WMT",2012-02-11,1,19.97,4,79.88
"10203","WMT",2012-02-18,1,19.97,1,19.97
"10203","WMT",2012-03-24,-1,-19.97,-4,-79.88
"10203","WMT",2012-04-28,-1,-19.97,-4,-79.88
"10203","WMT",2012-05-19,1,19.97,4,79.88
"10203","WMT",2012-10-20,1,17,2,34
"10203","WMT",2012-11-24,-1,-15,-3,-45
"10203","WMT",2012-12-08,1,15,3,45
"10203","WMT",2013-01-05,-1,-19.97,-2,-39.94
"10203","WMT",2013-01-12,1,15,4,60
"10203","WMT",2013-02-09,1,19.97,3,59.91
"10203","WMT",2013-12-28,-1,-19.97,-3,-59.91
"19150","AMZ",2012-01-07,12,244.8,24,489.6
"19150","AMZ",2012-01-14,68,1391.96,62,1269.14
"19150","AMZ",2012-01-21,128,2586.88,425,8589.25
"19150","AMZ",2012-01-28,53,1039.33,214,4196.54
"19150","AMZ",2012-02-04,3,59.91,2,39.94
"19150","AMZ",2012-02-11,10,199.7,41,818.77
"19150","AMZ",2012-02-18,83,1657.51,303,6050.91
"19150","AMZ",2012-02-25,173,3454.81,514,10264.58
"19150","AMZ",2012-03-03,160,3195.2,615,12281.55
"19150","AMZ",2012-03-10,196,3894.52,519,10312.53
"19150","AMZ",2012-03-17,171,3375.54,625,12337.5
"19150","AMZ",2012-03-24,178,3554.66,392,7828.24
"19150","AMZ",2012-03-31,181,3705.07,442,9047.74
"19150","AMZ",2012-04-07,183,3555.69,733,14242.19
"19150","AMZ",2012-04-14,128,2664.96,473,9847.86
"19150","AMZ",2012-04-21,141,3041.37,627,13524.39
"19150","AMZ",2012-04-28,190,4113.5,311,6733.15
"19150","AMZ",2012-05-05,156,3330.6,649,13856.15
"19150","AMZ",2012-05-12,155,3358.85,822,17812.74
"19150","AMZ",2012-05-19,174,3591.36,540,11145.6
"19150","AMZ",2012-05-26,187,3758.7,714,14351.4
"19150","AMZ",2012-06-02,133,2896.74,453,9866.34
"19150","AMZ",2012-06-09,138,2991.84,394,8541.92
"19150","AMZ",2012-06-16,158,3433.34,702,15254.46
"19150","AMZ",2012-06-23,134,2910.48,516,11207.52
"19150","AMZ",2012-06-30,139,2974.6,689,14744.6
"19150","AMZ",2012-07-07,160,3494.4,592,12929.28
"19150","AMZ",2012-07-14,177,3869.22,638,13946.68
"19150","AMZ",2012-07-21,219,4421.61,869,17545.11
"19150","AMZ",2012-07-28,213,4255.74,987,19720.26
"19150","AMZ",2012-08-04,232,4633.04,745,14877.65
"19150","AMZ",2012-08-11,252,5032.44,672,13419.84
"19150","AMZ",2012-08-18,233,4653.01,1063,21228.11
"19150","AMZ",2012-08-25,257,5034.63,392,7679.28
"19150","AMZ",2012-09-01,211,4154.59,790,15555.1
"19150","AMZ",2012-09-08,234,4672.98,1135,22665.95
"19150","AMZ",2012-09-15,264,5232.48,567,11237.94
"19150","AMZ",2012-09-22,276,5431.68,571,11237.28
"19150","AMZ",2012-09-29,264,5266.8,846,16877.7
"19150","AMZ",2012-10-06,265,5289.4,773,15429.08
"19150","AMZ",2012-10-13,200,3974,844,16770.28
"19150","AMZ",2012-10-20,94,1967.42,12,251.16
"19150","AMZ",2012-10-27,55,1159.4,220,4637.6
"19150","AMZ",2012-11-03,55,1083.5,65,1280.5
"19150","AMZ",2012-11-10,106,1841.22,20,347.4
"19150","AMZ",2012-11-17,96,1661.76,437,7564.47
"19150","AMZ",2012-11-24,66,1137.18,144,2481.12
"19150","AMZ",2012-12-01,161,2608.2,146,2365.2
"19150","AMZ",2012-12-08,1647,22563.9,3428,46963.6
"19150","AMZ",2012-12-15,1400,23828,3352,57051.04
"19150","AMZ",2012-12-22,3427,52604.45,15624,239828.4
"19150","AMZ",2012-12-29,228,4457.4,856,16734.8
"19150","AMZ",2013-01-05,97,1993.35,387,7952.85
"19150","AMZ",2013-01-12,39,825.24,139,2941.24
"19150","AMZ",2013-01-19,12,262.56,23,503.24
"19150","AMZ",2013-01-26,8,173.04,32,692.16
"19150","AMZ",2013-02-02,11,175.01,35,556.85
"19150","AMZ",2013-02-09,12,262.56,37,809.56
"19150","AMZ",2013-02-16,52,1136.72,273,5967.78
"19150","AMZ",2013-02-23,119,2582.3,418,9070.6
"19150","AMZ",2013-03-02,127,2778.76,499,10918.12
"19150","AMZ",2013-03-09,149,3260.12,393,8598.84
"19150","AMZ",2013-03-16,160,3478.4,751,16326.74
"19150","AMZ",2013-03-23,164,3567,422,9178.5
"19150","AMZ",2013-03-30,132,2849.88,369,7966.71
"19150","AMZ",2013-04-06,117,2405.52,319,6558.64
"19150","AMZ",2013-04-13,127,2772.41,523,11417.09
"19150","AMZ",2013-04-20,129,2778.66,365,7862.1
"19150","AMZ",2013-04-27,131,2844.01,508,11028.68
"19150","AMZ",2013-05-04,114,2473.8,354,7681.8
"19150","AMZ",2013-05-11,131,2761.48,587,12373.96
"19150","AMZ",2013-05-18,134,2808.64,439,9201.44
"19150","AMZ",2013-05-25,140,2935.8,324,6794.28
"19150","AMZ",2013-06-01,104,2180.88,372,7800.84
